turnover_id,Client_ID,Partner_ID,Currency_ID,Game_ID,Provider_ID,Product_ID,Is_RakeTransaction,Is_Calculated,Is_Rollbacked,Is_Bonus,Bet_Amount,Win_Amount,BonusBet_Amount,BonusWin_Amount,RakeBet_Amount,RakeWin_Amount,BetAmountIn_EUR,WinAmountIn_EUR,BonusBetAmountIn_EUR,BonusWinAmountIn_EUR,RakeBetAmountIn_EUR,RakeWinAmountIn_EUR
1,111,5,Currency A,221,331,441,FALSE,TRUE,FALSE,FALSE,129.75,335.225,0,0,0,0,1.47553322,3.812220603,0,0,0,0
2,112,5,Currency A,222,332,441,FALSE,TRUE,FALSE,TRUE,46975,0,40870,19375,0,0,534.205572,0,464.7787488,220.3349219,0,0
3,112,5,Currency A,223,333,441,FALSE,TRUE,FALSE,TRUE,10250,0,7500,9000,0,0,116.5642813,0,85.2909375,102.349125,0,0
4,112,5,Currency A,224,334,441,FALSE,TRUE,FALSE,FALSE,1980,1240,0,0,0,0,22.5168075,14.101435,0,0,0,0
5,114,4,Currency C,226,335,443,FALSE,TRUE,FALSE,FALSE,67000,67250,0,0,0,0,48.103521,48.28301175,0,0,0,0
6,114,4,Currency C,227,336,443,FALSE,TRUE,FALSE,FALSE,84500,61637.5,0,0,0,0,60.6678735,44.25344443,0,0,0,0
7,115,4,Currency C,228,337,441,FALSE,TRUE,FALSE,FALSE,933000,933500,0,0,0,0,64.61667,670.2184605,0,0,0,0
8,116,4,Currency C,228,337,441,FALSE,TRUE,FALSE,FALSE,90000,30000,0,0,0,0,0,21.53889,0,0,0,0
9,116,4,Currency C,229,337,441,FALSE,TRUE,FALSE,FALSE,10000,0,0,0,0,0,7.17963,0,0,0,0,0
10,114,4,Currency C,230,336,443,FALSE,TRUE,FALSE,FALSE,14000,30275,0,0,0,0,10.051482,21.73632983,0,0,0,0
11,114,4,Currency C,231,335,443,FALSE,TRUE,FALSE,FALSE,65000,85100,0,0,0,0,46.667595,61.0986513,0,0,0,0
12,114,4,Currency C,232,335,443,FALSE,TRUE,FALSE,FALSE,6500,1375,0,0,0,0,4.6667595,0.987199125,0,0,0,0
13,117,4,Currency C,233,337,441,FALSE,TRUE,FALSE,FALSE,12500,0,0,0,0,0,8.9745375,0,0,0,0,0
14,114,4,Currency C,234,338,443,FALSE,TRUE,FALSE,FALSE,20000,9062.5,0,0,0,0,14.35926,6.506539688,0,0,0,0
15,118,2,Currency D,235,337,441,FALSE,TRUE,FALSE,FALSE,109250,96500,0,0,0,0,2951.440753,2606.993435,0,0,0,0
16,119,2,Currency E,236,339,443,FALSE,TRUE,FALSE,TRUE,4750,0,4750,7075,0,0,32.68302595,0,32.68302595,48.6805068,0,0
17,120,2,Currency D,237,335,443,FALSE,TRUE,FALSE,FALSE,6250,7546.375,0,0,0,0,168.846725,203.8689127,0,0,0,0
18,121,2,Currency F,238,335,443,FALSE,TRUE,FALSE,TRUE,96875,0,96875,68450,0,0,5.992784375,0,5.992784375,4.23438545,0,0
19,122,2,Currency E,238,335,443,FALSE,TRUE,FALSE,TRUE,30562.5,0,30562.5,20367.5,0,0,210.2894683,0,210.2894683,140.1413741,0,0
20,123,2,Currency E,238,335,443,FALSE,TRUE,FALSE,TRUE,150000,0,150000,87075,0,0,1032.09555,0,1032.09555,599.1314668,0,0
21,124,2,Currency F,238,335,443,FALSE,TRUE,FALSE,FALSE,304250,230825,0,0,0,0,18.82120925,14.27906533,0,0,0,0
22,125,2,Currency E,239,335,443,FALSE,TRUE,FALSE,FALSE,3625,3032.5,0,0,0,0,24.94230913,20.8655317,0,0,0,0
23,125,2,Currency E,240,335,443,FALSE,TRUE,FALSE,FALSE,6625,3052.5,0,0,0,0,45.58422013,21.00314444,0,0,0,0
24,126,2,Currency F,241,340,443,FALSE,TRUE,FALSE,FALSE,225000,597075,0,0,0,0,13.918725,36.93565658,0,0,0,0
25,127,2,Currency E,242,337,441,FALSE,TRUE,FALSE,FALSE,2750,0,0,0,0,0,18.92175175,0,0,0,0,0
26,125,2,Currency E,243,335,443,FALSE,TRUE,FALSE,FALSE,19300,30450,0,0,0,0,132.7962941,209.5153967,0,0,0,0
27,128,2,Currency E,244,332,444,FALSE,TRUE,FALSE,FALSE,18200,29932,0,0,0,0,125.2275934,205.9512267,0,0,0,0
28,122,2,Currency E,245,335,443,FALSE,TRUE,FALSE,TRUE,8287.5,0,8287.5,9772.5,0,0,57.02327915,0,57.02327915,67.24102508,0,0
29,129,2,Currency D,245,335,443,FALSE,TRUE,FALSE,FALSE,70,22,0,0,0,0,1.89108332,0.59434047,0,0,0,0
30,130,2,Currency E,245,335,443,FALSE,TRUE,FALSE,FALSE,136250,93400.625,0,0,0,0,937.4867913,642.6557963,0,0,0,0
31,127,2,Currency E,246,337,441,FALSE,TRUE,FALSE,FALSE,4000,6337.5,0,0,0,0,27.522548,43.606037,0,0,0,0
32,127,2,Currency E,247,337,441,FALSE,TRUE,FALSE,FALSE,3750,4000,0,0,0,0,25.80238875,27.522548,0,0,0,0
33,131,2,Currency E,248,339,443,FALSE,TRUE,FALSE,FALSE,44125,74481.25,0,0,0,0,303.6081078,512.4784445,0,0,0,0
34,125,2,Currency E,249,335,443,FALSE,TRUE,FALSE,FALSE,4800,1125,0,0,0,0,33.0270576,7.740716625,0,0,0,0
35,128,2,Currency E,250,341,443,FALSE,TRUE,FALSE,FALSE,4000,2575,0,0,0,0,27.522548,17.71764028,0,0,0,0
36,127,2,Currency E,251,337,441,FALSE,TRUE,FALSE,FALSE,6000,7800,0,0,0,0,41.283822,53.6689686,0,0,0,0
37,120,2,Currency D,252,335,443,FALSE,TRUE,FALSE,FALSE,785,408.875,0,0,0,0,21.20714866,11.04595276,0,0,0,0
38,125,2,Currency E,253,335,443,FALSE,TRUE,FALSE,FALSE,6450,1215,0,0,0,0,44.38010865,8.359973955,0,0,0,0
39,132,2,Currency G,254,342,443,FALSE,TRUE,FALSE,FALSE,1150000,526000,0,0,0,0,45.2709,20.706516,0,0,0,0
40,132,2,Currency G,255,343,443,FALSE,TRUE,FALSE,FALSE,2040000,8535000,0,0,0,0,80.30664,335.98881,0,0,0,0
41,127,2,Currency E,256,337,441,FALSE,TRUE,FALSE,FALSE,9750,0,0,0,0,0,67.08621075,0,0,0,0,0
42,127,2,Currency E,257,337,441,FALSE,TRUE,FALSE,FALSE,2000,3900,0,0,0,0,13.761274,26.8344843,0,0,0,0
43,127,2,Currency E,258,337,441,FALSE,TRUE,FALSE,FALSE,2250,4387.5,0,0,0,0,15.48143325,30.18879485,0,0,0,0
44,127,2,Currency E,259,337,441,FALSE,TRUE,FALSE,FALSE,4250,0,0,0,0,0,29.24270725,0,0,0,0,0
45,133,2,Currency D,260,335,443,FALSE,TRUE,FALSE,FALSE,1711.875,1793.75,0,0,0,0,46.24711798,48.45901008,0,0,0,0
46,121,2,Currency F,261,335,443,FALSE,TRUE,FALSE,TRUE,119625,0,41500,41700,0,0,7.400122125,0,2.5672315,2.5796037,0,0
47,132,2,Currency G,262,343,443,FALSE,TRUE,FALSE,FALSE,990000,420000,0,0,0,0,38.97234,16.53372,0,0,0,0
48,134,2,Currency F,263,335,443,FALSE,TRUE,FALSE,FALSE,576250,496250,0,0,0,0,35.64740125,30.69852125,0,0,0,0
49,127,2,Currency E,264,337,441,FALSE,TRUE,FALSE,FALSE,4500,3500,0,0,0,0,30.9628665,24.0822295,0,0,0,0
50,127,2,Currency E,265,337,441,FALSE,TRUE,FALSE,FALSE,2500,5000,0,0,0,0,17.2015925,34.403185,0,0,0,0
51,135,2,Currency E,266,344,443,FALSE,TRUE,FALSE,FALSE,1750,2430,0,0,0,0,12.04111475,16.71994791,0,0,0,0
52,128,2,Currency E,267,335,444,FALSE,TRUE,FALSE,FALSE,12042.5,3250,0,0,0,0,82.86007108,22.36207025,0,0,0,0
53,123,2,Currency E,268,345,443,FALSE,TRUE,FALSE,TRUE,12500,0,12500,35197.5,0,0,86.0079625,0,86.0079625,242.1812208,0,0
54,136,2,Currency A,269,337,441,FALSE,TRUE,FALSE,FALSE,2775,1750,0,0,0,0,31.55764688,19.90121875,0,0,0,0
55,127,2,Currency E,270,337,441,FALSE,TRUE,FALSE,FALSE,1500,2925,0,0,0,0,10.3209555,20.12586323,0,0,0,0
56,137,2,Currency E,271,337,441,FALSE,TRUE,FALSE,TRUE,14150,0,14150,6300,0,0,97.36101355,0,97.36101355,43.3480131,0,0
57,126,2,Currency F,272,340,443,FALSE,TRUE,FALSE,FALSE,360000,736625,0,0,0,0,22.26996,45.56835913,0,0,0,0
58,138,2,Currency E,273,344,443,FALSE,TRUE,FALSE,TRUE,60250,0,60250,43725,0,0,414.5583793,0,414.5583793,300.8558528,0,0
59,132,2,Currency G,274,346,443,FALSE,TRUE,FALSE,FALSE,1775000,1698125,0,0,0,0,69.87465,66.84838875,0,0,0,0
60,123,2,Currency E,275,345,443,FALSE,TRUE,FALSE,TRUE,63500,0,63500,30312.5,0,0,436.9204495,0,436.9204495,208.5693091,0,0
61,127,2,Currency E,276,337,441,FALSE,TRUE,FALSE,FALSE,2500,5000,0,0,0,0,17.2015925,34.403185,0,0,0,0
62,139,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,52500,0,0,0,0,0,37.5243225,0,0,0,0,0
63,140,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,118750,124250,0,0,0,0,84.87644375,88.80756325,0,0,0,0
64,140,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,232500,256000,0,0,0,0,166.1791425,182.975744,0,0,0,0
65,116,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,396250,532375,0,0,0,0,283.2192913,380.514499,0,0,0,0
66,141,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,150000,100000,0,0,0,0,107.21235,71.4749,0,0,0,0
67,140,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,125000,89625,0,0,0,0,89.343625,64.05937913,0,0,0,0
68,117,4,Currency C,235,337,441,FALSE,TRUE,FALSE,FALSE,25000,49375,0,0,0,0,17.868725,35.29073188,0,0,0,0
69,116,4,Currency C,277,337,441,FALSE,TRUE,FALSE,FALSE,2500,0,0,0,0,0,1.7868725,0,0,0,0,0
70,140,4,Currency C,278,337,441,FALSE,TRUE,FALSE,FALSE,85000,88500,0,0,0,0,60.753665,63.2552865,0,0,0,0
71,140,4,Currency C,278,337,441,FALSE,TRUE,FALSE,FALSE,250000,335000,0,0,0,0,178.68725,239.440915,0,0,0,0
72,140,4,Currency C,278,337,441,FALSE,TRUE,FALSE,FALSE,120000,74250,0,0,0,0,85.76988,53.07011325,0,0,0,0
73,142,4,Currency C,278,337,441,FALSE,TRUE,FALSE,FALSE,97500,170000,0,0,0,0,69.6880275,121.50733,0,0,0,0
74,117,4,Currency C,278,337,441,FALSE,TRUE,FALSE,FALSE,7500,0,0,0,0,0,5.3606175,0,0,0,0,0
75,140,4,Currency C,278,337,441,FALSE,TRUE,FALSE,FALSE,180000,128250,0,0,0,0,128.65482,91.66655925,0,0,0,0
76,143,4,Currency C,279,337,441,FALSE,TRUE,FALSE,FALSE,225000,124375,0,0,0,0,160.818525,88.89690688,0,0,0,0
77,140,4,Currency C,279,337,441,FALSE,TRUE,FALSE,FALSE,237500,323125,0,0,0,0,169.7528875,230.9532706,0,0,0,0
78,144,4,Currency C,280,347,443,FALSE,TRUE,FALSE,FALSE,14375,2000,0,0,0,0,10.27451688,1.429498,0,0,0,0
79,144,4,Currency C,281,347,443,FALSE,TRUE,FALSE,FALSE,54375,30250,0,0,0,0,38.86447688,21.62115725,0,0,0,0
80,116,4,Currency C,282,337,441,FALSE,TRUE,FALSE,FALSE,87500,55000,0,0,0,0,62.5405375,39.311195,0,0,0,0
81,140,4,Currency C,283,337,441,FALSE,TRUE,FALSE,FALSE,475000,501500,0,0,0,0,339.505775,358.4466235,0,0,0,0
82,145,4,Currency C,283,337,441,FALSE,TRUE,FALSE,FALSE,75000,50000,0,0,0,0,53.606175,35.73745,0,0,0,0
83,140,4,Currency C,283,337,441,FALSE,TRUE,FALSE,FALSE,182500,182500,0,0,0,0,130.4416925,130.4416925,0,0,0,0
84,140,4,Currency C,283,337,441,FALSE,TRUE,FALSE,FALSE,332500,364125,0,0,0,0,237.6540425,260.2579798,0,0,0,0
85,143,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,7500,14750,0,0,0,0,5.3606175,10.54254775,0,0,0,0
86,140,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,12500,0,0,0,0,0,8.9343625,0,0,0,0,0
87,140,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,565000,487250,0,0,0,0,403.833185,348.2614503,0,0,0,0
88,146,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,25000,0,0,0,0,0,17.868725,0,0,0,0,0
89,140,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,97500,64250,0,0,0,0,69.6880275,45.92262325,0,0,0,0
90,143,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,48750,22500,0,0,0,0,34.84401375,16.0818525,0,0,0,0
91,147,4,Currency C,242,337,441,FALSE,TRUE,FALSE,FALSE,7500,2500,0,0,0,0,5.3606175,1.7868725,0,0,0,0
92,148,4,Currency C,284,336,443,FALSE,TRUE,FALSE,FALSE,410250,420875,0,0,0,0,293.2257773,300.8199855,0,0,0,0
93,148,4,Currency C,284,336,443,FALSE,TRUE,FALSE,FALSE,457500,379375,0,0,0,0,326.9976675,271.157902,0,0,0,0
94,148,4,Currency C,284,336,443,FALSE,TRUE,FALSE,FALSE,515250,332300,0,0,0,0,368.2744223,237.5110927,0,0,0,0
95,148,4,Currency C,284,336,443,FALSE,TRUE,FALSE,FALSE,733500,910375,0,0,0,0,524.2683915,650.689621,0,0,0,0
