Client_ID,Client_Age,Age_Group,Client_Gender,Client_Country,Is_Test
111,39,OldAdults,Male,Country A,FALSE
112,,Unknown,Male,Unknown,FALSE
113,,Unknown,Unknown,Unknown,FALSE
114,34,Adults,Male,Country A,FALSE
115,33,Adults,Male,Country A,FALSE
116,,Unknown,Unknown,Unknown,FALSE
117,,Unknown,Male,Unknown,FALSE
118,,Unknown,Unknown,Unknown,FALSE
119,,Unknown,Unknown,Unknown,FALSE
120,,Unknown,Unknown,Unknown,FALSE
121,,Unknown,Unknown,Country A,FALSE
122,,Unknown,Unknown,Country A,FALSE
123,,Unknown,Unknown,Country A,FALSE
124,,Unknown,Unknown,Country A,FALSE
125,,Unknown,Unknown,Country A,FALSE
126,,Unknown,Unknown,Country A,FALSE
127,,Unknown,Unknown,Country A,FALSE
128,23,YoungAdults,Male,Country A,FALSE
129,45,OldAdults,Male,Country A,FALSE
130,,Unknown,Unknown,Unknown,FALSE
131,,Unknown,Unknown,Unknown,FALSE
132,,Unknown,Unknown,Unknown,FALSE
133,,Unknown,Unknown,Country C,FALSE
134,30,Adults,Male,Country A,FALSE
135,37,OldAdults,Male,Country A,FALSE
136,25,Adults,Male,Country A,FALSE
137,39,OldAdults,Male,Unknown,FALSE
138,29,Adults,Male,Country A,FALSE
139,39,OldAdults,Unknown,Country A,FALSE
140,43,OldAdults,Male,Country A,FALSE
141,51,Old,Male,Country A,FALSE
142,36,OldAdults,Male,Country A,FALSE
143,28,Adults,Male,Country B,FALSE
144,34,Adults,Male,Country B,FALSE
145,27,Adults,Male,Country B,FALSE
146,33,Adults,Male,Country B,FALSE
147,34,Adults,Male,Country B,FALSE
148,25,Adults,Male,Country B,FALSE
149,34,Adults,Male,Country B,FALSE
150,26,Adults,Male,Country B,FALSE
151,29,Adults,Male,Country B,FALSE
152,36,OldAdults,Male,Country B,FALSE
153,21,YoungAdults,Male,Country B,FALSE
154,36,OldAdults,Male,Country B,FALSE
155,23,YoungAdults,Male,Country B,FALSE
156,37,OldAdults,Male,Country B,FALSE
157,37,OldAdults,Male,Country B,FALSE
158,32,Adults,Male,Country B,FALSE
159,30,Adults,Male,Country B,FALSE
160,24,YoungAdults,Male,Country B,FALSE
161,50,Old,Male,Country B,FALSE
162,34,Adults,Male,Country B,FALSE
163,46,OldAdults,Male,Country B,FALSE
164,49,OldAdults,Unknown,Country B,FALSE
165,23,YoungAdults,Male,Country B,FALSE
166,23,YoungAdults,Male,Country B,FALSE
167,30,Adults,Male,Country B,FALSE
168,31,Adults,Male,Country B,FALSE
169,30,Adults,Female,Country B,FALSE
170,,Unknown,Male,Country A,FALSE
171,,Unknown,Male,Country A,FALSE
172,,Unknown,Unknown,Country A,FALSE
173,,Unknown,Unknown,Country A,FALSE
174,,Unknown,Unknown,Country B,FALSE
175,37,OldAdults,Male,Country B,FALSE
176,26,Adults,Male,Country B,FALSE
177,35,OldAdults,Male,Country B,FALSE
178,29,Adults,Male,Country B,FALSE
179,45,OldAdults,Male,Country B,FALSE
180,28,Adults,Male,Country B,FALSE
181,42,OldAdults,Male,Country B,FALSE
182,39,OldAdults,Male,Country B,FALSE
183,34,Adults,Male,Country B,FALSE
