Partner_ID,Partner_Name,Partner_Country
1,Partner A,Country A
2,Partner B,Country B
3,Partner C,Country A
4,Partner D,Country A
5,Partner E,Country B
6,Partner F,Country A
7,Partner G,Country A
8,Partner H,Country C
9,Partner I,Country B
10,Partner J,Country B
11,Partner K,Country B
12,Partner L,Country D
13,Partner M,Country A
14,Partner N,Country A
15,Partner O,Country E
16,Partner P,Country F
17,Partner Q,Country G
18,Partner R,Country A
19,Partner S,Country G
20,Partner T,Country B
21,Partner U,Country B
22,Partner V,Country B
23,Partner W,Country C
24,Partner X,Country B
25,Partner Y,Country A
26,Partner Z,Country A
